OBJECTID,PRNAME,PRUID,DGUID,CDUID,CDNAME,DAUID,Total_15_to_19_years,Men_15_to_19_years,Women_15_to_19_years,Shape_Area(m^2),Shape_Area(km^2),Total_15_Density,Men_15_Density,Women_15_Density,ORIG_FID,Long,Lat,Coordinate
161,Manitoba,46,2021S051246110165,4611,Division No. 11,46110165,50,30,25,152291.9935,0.152291993,328.3166689,196.9900013,164.1583344,161,-97.16256175,49.93185615,-097.16256175 49.93185615
162,Manitoba,46,2021S051246110166,4611,Division No. 11,46110166,50,15,35,156894.6388,0.156894639,318.6852042,95.60556127,223.079643,162,-97.16356278,49.92930759,-097.16356278 49.92930759
163,Manitoba,46,2021S051246110167,4611,Division No. 11,46110167,45,25,15,103830.4859,0.103830486,433.398723,240.7770683,144.466241,163,-97.16641514,49.9276986,-097.16641514 49.92769860
164,Manitoba,46,2021S051246110168,4611,Division No. 11,46110168,45,20,25,101442.0142,0.101442014,443.603179,197.1569684,246.4462105,164,-97.16202354,49.92577959,-097.16202354 49.92577959
165,Manitoba,46,2021S051246110169,4611,Division No. 11,46110169,65,40,20,137481.5534,0.137481553,472.7907008,290.9481236,145.4740618,165,-97.16591139,49.92464907,-097.16591139 49.92464907
166,Manitoba,46,2021S051246110170,4611,Division No. 11,46110170,60,25,30,119467.68,0.11946768,502.2278828,209.2616178,251.1139414,166,-97.16143374,49.92196156,-097.16143374 49.92196156
167,Manitoba,46,2021S051246110171,4611,Division No. 11,46110171,45,25,20,629869.0271,0.629869027,71.44342405,39.69079114,31.75263291,167,-97.16438594,49.91866753,-097.16438594 49.91866753
168,Manitoba,46,2021S051246110172,4611,Division No. 11,46110172,55,25,30,124014.2234,0.124014223,443.4975157,201.5897799,241.9077359,168,-97.17224992,49.92566322,-097.17224992 49.92566322
169,Manitoba,46,2021S051246110173,4611,Division No. 11,46110173,65,35,30,164843.3586,0.164843359,394.3137324,212.322779,181.9909534,169,-97.17440555,49.92763351,-097.17440555 49.92763351
170,Manitoba,46,2021S051246110174,4611,Division No. 11,46110174,35,15,20,838579.1718,0.838579172,41.73726367,17.88739871,23.84986495,170,-97.16264783,49.91122158,-097.16264783 49.91122158
171,Manitoba,46,2021S051246110175,4611,Division No. 11,46110175,50,20,30,96413.92523,0.096413925,518.5972864,207.4389146,311.1583719,171,-97.15620508,49.90752621,-097.15620508 49.90752621
172,Manitoba,46,2021S051246110176,4611,Division No. 11,46110176,55,25,25,329229.0793,0.329229079,167.0569323,75.93496922,75.93496922,172,-97.14987245,49.90677388,-097.14987245 49.90677388
173,Manitoba,46,2021S051246110177,4611,Division No. 11,46110177,90,40,45,117211.2166,0.117211217,767.8446021,341.2642676,383.9223011,173,-97.16987252,49.94435614,-097.16987252 49.94435614
174,Manitoba,46,2021S051246110178,4611,Division No. 11,46110178,35,15,15,125044.9449,0.125044945,279.8993596,119.9568684,119.9568684,174,-97.17071205,49.94734736,-097.17071205 49.94734736
175,Manitoba,46,2021S051246110179,4611,Division No. 11,46110179,35,15,20,86981.52155,0.086981522,402.3843154,172.4504209,229.9338945,175,-97.16912581,49.94927432,-097.16912581 49.94927432
176,Manitoba,46,2021S051246110180,4611,Division No. 11,46110180,40,25,20,103497.7634,0.103497763,386.4817817,241.5511136,193.2408909,176,-97.17491386,49.94893205,-097.17491386 49.94893205
177,Manitoba,46,2021S051246110181,4611,Division No. 11,46110181,40,20,20,128396.0094,0.128396009,311.5361622,155.7680811,155.7680811,177,-97.17757262,49.94707979,-097.17757262 49.94707979
178,Manitoba,46,2021S051246110182,4611,Division No. 11,46110182,30,15,15,176872.1347,0.176872135,169.6140551,84.80702754,84.80702754,178,-97.17978,49.95019446,-097.17978000 49.95019446
179,Manitoba,46,2021S051246110183,4611,Division No. 11,46110183,25,15,10,267942.7171,0.267942717,93.30352497,55.98211498,37.32140999,179,-97.1745858,49.95283929,-097.17458580 49.95283929
180,Manitoba,46,2021S051246110184,4611,Division No. 11,46110184,40,25,20,95824.5432,0.095824543,417.4295923,260.8934952,208.7147961,180,-97.18154639,49.95319432,-097.18154639 49.95319432
181,Manitoba,46,2021S051246110185,4611,Division No. 11,46110185,40,20,20,94005.66976,0.09400567,425.5062498,212.7531249,212.7531249,181,-97.17905631,49.95569815,-097.17905631 49.95569815
182,Manitoba,46,2021S051246110186,4611,Division No. 11,46110186,40,25,20,113040.0618,0.113040062,353.8568482,221.1605302,176.9284241,182,-97.18209437,49.95702636,-097.18209437 49.95702636
183,Manitoba,46,2021S051246110187,4611,Division No. 11,46110187,25,10,20,150153.0626,0.150153063,166.4967705,66.59870821,133.1974164,183,-97.17816593,49.95833954,-097.17816593 49.95833954
184,Manitoba,46,2021S051246110188,4611,Division No. 11,46110188,35,20,10,201549.9486,0.201549949,173.6542244,99.23098539,49.61549269,184,-97.17804543,49.96118383,-097.17804543 49.96118383
185,Manitoba,46,2021S051246110189,4611,Division No. 11,46110189,30,15,15,135127.6699,0.13512767,222.0122645,111.0061323,111.0061323,185,-97.18365633,49.96283075,-097.18365633 49.96283075
186,Manitoba,46,2021S051246110190,4611,Division No. 11,46110190,55,25,25,167792.2945,0.167792295,327.7862083,148.993731,148.993731,186,-97.18757209,49.96360757,-097.18757209 49.96360757
187,Manitoba,46,2021S051246110191,4611,Division No. 11,46110191,35,15,20,157570.9671,0.157570967,222.1221374,95.19520173,126.9269356,187,-97.1861701,49.95914501,-097.18617010 49.95914501
188,Manitoba,46,2021S051246110192,4611,Division No. 11,46110192,15,5,10,66439.30892,0.066439309,225.7699582,75.25665274,150.5133055,188,-97.18938487,49.95710973,-097.18938487 49.95710973
189,Manitoba,46,2021S051246110193,4611,Division No. 11,46110193,115,60,60,436991.8164,0.436991816,263.1628229,137.3023424,137.3023424,189,-97.1917486,49.95498093,-097.19174860 49.95498093
190,Manitoba,46,2021S051246110194,4611,Division No. 11,46110194,30,15,10,101214.6129,0.101214613,296.3998887,148.1999443,98.79996288,190,-97.18546347,49.95526151,-097.18546347 49.95526151
191,Manitoba,46,2021S051246110195,4611,Division No. 11,46110195,15,10,0,98975.07065,0.098975071,151.5533144,101.0355429,0,191,-97.1871216,49.95328755,-097.18712160 49.95328755
192,Manitoba,46,2021S051246110196,4611,Division No. 11,46110196,25,20,10,130355.1325,0.130355133,191.7837795,153.4270236,76.71351181,192,-97.18532956,49.9501933,-097.18532956 49.95019330
193,Manitoba,46,2021S051246110197,4611,Division No. 11,46110197,50,25,25,122770.9158,0.122770916,407.2625806,203.6312903,203.6312903,193,-97.1964549,49.95241897,-097.19645490 49.95241897
194,Manitoba,46,2021S051246110198,4611,Division No. 11,46110198,25,10,15,93416.34688,0.093416347,267.6191142,107.0476457,160.5714685,194,-97.19913086,49.95191883,-097.19913086 49.95191883
195,Manitoba,46,2021S051246110199,4611,Division No. 11,46110199,15,10,5,99095.51115,0.099095511,151.3691168,100.9127445,50.45637226,195,-97.19938389,49.94826116,-097.19938389 49.94826116
196,Manitoba,46,2021S051246110200,4611,Division No. 11,46110200,35,20,10,183250.7666,0.183250767,190.9951082,109.1400619,54.57003093,196,-97.20335654,49.94949769,-097.20335654 49.94949769
197,Manitoba,46,2021S051246110201,4611,Division No. 11,46110201,50,25,25,142495.3109,0.142495311,350.8887393,175.4443697,175.4443697,197,-97.19996564,49.94722875,-097.19996564 49.94722875
198,Manitoba,46,2021S051246110202,4611,Division No. 11,46110202,45,30,15,142577.928,0.142577928,315.6168745,210.4112497,105.2056248,198,-97.19973699,49.94508549,-097.19973699 49.94508549
199,Manitoba,46,2021S051246110203,4611,Division No. 11,46110203,45,25,15,144571.1931,0.144571193,311.2653291,172.9251828,103.7551097,199,-97.19703502,49.94155661,-097.19703502 49.94155661
200,Manitoba,46,2021S051246110204,4611,Division No. 11,46110204,25,20,10,56377.67858,0.056377679,443.4379107,354.7503286,177.3751643,200,-97.20080456,49.94260784,-097.20080456 49.94260784
201,Manitoba,46,2021S051246110205,4611,Division No. 11,46110205,25,10,10,67396.08493,0.067396085,370.9414282,148.3765713,148.3765713,201,-97.19972081,49.94032629,-097.19972081 49.94032629
202,Manitoba,46,2021S051246110206,4611,Division No. 11,46110206,50,30,20,70203.70425,0.070203704,712.2131308,427.3278785,284.8852523,202,-97.20276887,49.94037942,-097.20276887 49.94037942
203,Manitoba,46,2021S051246110207,4611,Division No. 11,46110207,25,5,15,60139.97541,0.060139975,415.6968777,83.13937554,249.4181266,203,-97.19942918,49.93812524,-097.19942918 49.93812524
204,Manitoba,46,2021S051246110208,4611,Division No. 11,46110208,25,20,5,227284.7315,0.227284731,109.9941903,87.99535221,21.99883805,204,-97.20335228,49.93645705,-097.20335228 49.93645705
205,Manitoba,46,2021S051246110209,4611,Division No. 11,46110209,30,20,10,75967.81853,0.075967819,394.9040605,263.2693736,131.6346868,205,-97.19647059,49.93692813,-097.19647059 49.93692813
206,Manitoba,46,2021S051246110210,4611,Division No. 11,46110210,25,15,15,116019.2232,0.116019223,215.4815323,129.2889194,129.2889194,206,-97.19971212,49.93447563,-097.19971212 49.93447563
